FontColorName,FontColourCode,Word,TrialCondition,Button,TrialName
Blue,"rgb(0, 0, 255)",Blue,C,1,StroopPractice
Green,"rgb(34, 139, 34)",Green,C,2,StroopPractice
Green,"rgb(34, 139, 34)",Orange,I,2,StroopPractice
Yellow,"rgb(255, 245, 0)",Yellow,C,3,StroopPractice
Blue,"rgb(0, 0, 255)",Orange,I,1,StroopPractice
Green,"rgb(34, 139, 34)",Green,C,2,StroopPractice
Blue,"rgb(0, 0, 255)",Red,I,1,StroopPractice
Yellow,"rgb(255, 245, 0)",Yellow,C,3,StroopPractice
Green,"rgb(34, 139, 34)",Brown,I,2,StroopPractice
Yellow,"rgb(255, 245, 0)",Red ,I,3,StroopPractice
Blue,"rgb(0, 0, 255)",Blue,C,1,StroopPractice
Green,"rgb(34, 139, 34)",Green,C,2,StroopPractice
Green,"rgb(34, 139, 34)",Orange,I,2,StroopPractice
Yellow,"rgb(255, 245, 0)",Yellow,C,3,StroopPractice
Blue,"rgb(0, 0, 255)",Orange,I,1,StroopPractice
Green,"rgb(34, 139, 34)",Green,C,2,StroopPractice
Blue,"rgb(0, 0, 255)",Red,I,1,StroopPractice
Yellow,"rgb(255, 245, 0)",Yellow,C,3,StroopPractice
Green,"rgb(34, 139, 34)",Brown,I,2,StroopPractice
Yellow,"rgb(255, 245, 0)",Red ,I,3,StroopPractice
