"Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Block","Group","Item","Condition","Stroop_answer","Question_answer","Reading.time","NA.","Sentence..or.sentence.MD5.","Comments"
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","PennController","0","_Trial_","Start",1586115848620,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","PennController","0","_Header_","Start",1586115848620,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","PennController","0","_Header_","End",1586115848879,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","age","23",1586115875324,"Kayla","text input",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","first_language","Chinese",1586115875324,"Kayla","text input",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","feedback"," ",1586115875324,"Kayla","text input",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","gender","female",1586115875324,"Kayla","radio button",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","is_first_language_english","No",1586115875324,"Kayla","radio button",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","learn_english_age","5-10",1586115875324,"Kayla","radio button",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","Html","demographic","proficiency","3",1586115875324,"Kayla","radio button",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",1,0,"intro","NULL","PennController","0","_Trial_","End",1586115875326,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",2,0,"practice_color","NULL","PennController","1","_Trial_","Start",1586115875333,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",2,0,"practice_color","NULL","PennController","1","_Header_","Start",1586115875333,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",2,0,"practice_color","NULL","PennController","1","_Header_","End",1586115875595,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",2,0,"practice_color","NULL","PennController","1","_Trial_","End",1586115879515,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",8,0,"color_matching","NULL","PennController","14","_Trial_","Start",1586115879517,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",8,0,"color_matching","NULL","PennController","14","_Header_","Start",1586115879517,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",8,0,"color_matching","NULL","PennController","14","_Header_","End",1586115879777,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",8,0,"color_matching","NULL","PennController","14","_Trial_","End",1586115881777,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",13,0,"color_matching","NULL","PennController","19","_Trial_","Start",1586115881780,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",13,0,"color_matching","NULL","PennController","19","_Header_","Start",1586115881780,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",13,0,"color_matching","NULL","PennController","19","_Header_","End",1586115882044,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",13,0,"color_matching","NULL","PennController","19","_Trial_","End",1586115884611,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",6,0,"color_matching","NULL","PennController","12","_Trial_","Start",1586115884613,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",6,0,"color_matching","NULL","PennController","12","_Header_","Start",1586115884613,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",6,0,"color_matching","NULL","PennController","12","_Header_","End",1586115884877,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",6,0,"color_matching","NULL","PennController","12","_Trial_","End",1586115886860,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",11,0,"color_matching","NULL","PennController","17","_Trial_","Start",1586115886862,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",11,0,"color_matching","NULL","PennController","17","_Header_","Start",1586115886862,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",11,0,"color_matching","NULL","PennController","17","_Header_","End",1586115887127,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",11,0,"color_matching","NULL","PennController","17","_Trial_","End",1586115889227,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",19,0,"color_matching","NULL","PennController","25","_Trial_","Start",1586115889229,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",19,0,"color_matching","NULL","PennController","25","_Header_","Start",1586115889229,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",19,0,"color_matching","NULL","PennController","25","_Header_","End",1586115889494,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",19,0,"color_matching","NULL","PennController","25","_Trial_","End",1586115892060,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",12,0,"color_matching","NULL","PennController","18","_Trial_","Start",1586115892062,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",12,0,"color_matching","NULL","PennController","18","_Header_","Start",1586115892062,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",12,0,"color_matching","NULL","PennController","18","_Header_","End",1586115892327,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",12,0,"color_matching","NULL","PennController","18","_Trial_","End",1586115894410,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",5,0,"color_matching","NULL","PennController","11","_Trial_","Start",1586115894412,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",5,0,"color_matching","NULL","PennController","11","_Header_","Start",1586115894412,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
1586116509,"1baa4fb752f7ebba39b52132ef756e46","PennController",5,0,"color_matching","NULL","PennController","11","_Header_","End",1586115894677,"Kayla","NULL",NA,NA,"",NA,NA,"","","",""
